Year,AMJ.north.stress,AMJ.south.stress,SE.wind.Oct.Apr,NW.wind.Oct.Apr,SE.wind.May.Sep,NW.wind.May.Sep,ARWTH.LAT,TANNER.LAT,OPIE.LAT,POLLOCK.LAT,COD.LAT,FLTHD.LAT,HALIBUT.LAT,ROCKSOLE.LAT,YLFIN.LAT,PLAICE.LAT,POACHER.LAT,SKATE.LAT,EBS.JEL.CPUE,EBS.J.POLL.CPUE,EBS.J.COD.CPUE,AKCLIM_EBS_BOTTOM.TEMP,AKCLIM_EBS_JanFebICE,AKCLIM_EBS_MarAprICE,EBS_OPEN.WATER.BLOOM,EBS_BLOOM.TIMING,EBS_BLOOM.SIZE,EBS_PHYTO.SIZE.RATIO,EBS_PSUEDOCALANUS,EBS_CALANUS
1948,0.076933592,0.046979598,NA,NA,0.196129032,0.156344086,,,,,,,,,,,,,,,,,,,,,,,,
1949,0.037929527,0.028107889,0.201294711,0.165328067,0.138064516,0.195268817,,,,,,,,,,,,,,,,,,,,,,,,
1950,0.033793491,0.026461619,0.140860215,0.228176432,0.215913978,0.266666667,,,,,,,,,,,,,,,,,,,,,,,,
1951,0.073349738,0.046849842,0.159326311,0.104772877,0.144301075,0.091397849,,,,,,,,,,,,,,,,,,,,,,,,
1952,0.044521366,0.039962741,0.193315324,0.224937762,0.20344086,0.209032258,,,,,,,,,,,,,,,,,,,,,,,,
1953,0.062760405,0.037500439,0.188457318,0.131742374,0.210322581,0.156129032,,,,,,,,,,,,,,,,,,,,,,,,
1954,0.031391945,0.042310319,0.188983981,0.164274742,0.124516129,0.207956989,,,,,,,,,,,,,,,,,,,,,,,,
1955,0.056875609,0.038413288,0.195918367,0.102797893,0.235053763,0.164301075,,,,,,,,,,,,,,,,,,,,,,,,
1956,0.066149655,0.037182684,0.243535145,0.121987393,0.261505376,0.158064516,,,,,,,,,,,,,,,,,,,,,,,,
1957,0.052535374,0.041814844,0.130107527,0.184342769,0.176344086,0.129677419,,,,,,,,,,,,,,,,,,,,,,,,
1958,0.067990509,0.061520376,0.122865921,0.155058152,0.227526882,0.104731183,,,,,,,,,,,,,,,,,,,,,,,,
1959,0.067955686,0.037801431,0.16374808,0.147048497,0.288817204,0.11827957,,,,,,,,,,,,,,,,,,,,,,,,
1960,0.057746099,0.042883349,0.122766036,0.136940516,0.28172043,0.143010753,,,,,,,,,,,,,,,,,,,,,,,,
1961,0.03980152,0.038974958,0.18418916,0.149615975,0.16344086,0.182365591,,,,,,,,,,,,,,,,,,,,,,,,
1962,0.044673328,0.056012075,0.150109721,0.170945798,0.308602151,0.221505376,,,,,,,,,,,,,,,,,,,,,,,,
1963,0.038012143,0.038078897,0.173985078,0.139697169,0.229892473,0.143655914,,,,,,,,,,,,,,,,,,,,,,,,
1964,0.061465431,0.03748443,0.226834048,0.13103978,0.208817204,0.202580645,,,,,,,,,,,,,,,,,,,,,,,,
1965,0.028973739,0.0425396,0.184529296,0.126486724,0.150107527,0.190107527,,,,,,,,,,,,,,,,,,,,,,,,
1966,0.060254436,0.062122385,0.140004389,0.142933948,0.27483871,0.137419355,,,,,,,,,,,,,,,,,,,,,,,,
1967,0.030624054,0.051717013,0.159359228,0.218268598,0.183225806,0.137849462,,,,,,,,,,,,,,,,,,,,,,,,
1968,0.047847245,0.037351864,0.178844218,0.129964511,0.19827957,0.180860215,,,,,,,,,,,,,,,,,,,,,,,,
1969,0.053120746,0.044521327,0.127781435,0.192264648,0.202150538,0.151397849,,,,,,,,,,,,,,,,,,,,,,,,
1970,0.046742575,0.04659616,0.117390827,0.12682686,0.21483871,0.163225806,,,,,,,,,,,,,,,,,,,,,,,,
1971,0.07432899,0.059737798,0.17512618,0.122032039,0.242365591,0.150537634,,,,,,,,,,,,,,,,,,,,,,,,
1972,0.03596936,0.06122728,0.173139467,0.14136342,0.144516129,0.209247312,,,,,,,,,,,,,,,,,0.121329826,1.085136153,,,,,,
1973,0.056362866,0.041778131,0.227079219,0.16395655,0.209677419,0.169677419,,,,,,,,,,,,,,,,,0.187774784,1.02687591,,,,,,
1974,0.07868597,0.040305577,0.214461268,0.150449857,0.211612903,0.208172043,,,,,,,,,,,,,,,,,0.396186209,0.883769983,,,,,,
1975,0.042031388,0.034096134,0.199001536,0.128648233,0.229892473,0.123870968,,,,,,,,,,,,,,,,0.792400763,1.175895581,1.754980028,,,,,,
1976,0.044110095,0.024377633,0.243995974,0.089411515,0.189462366,0.247096774,,,,,,,,,,,,,,,,1.020493968,1.73933285,1.996558533,,,,,,
1977,0.031973715,0.043394767,0.155244679,0.071900373,0.23655914,0.149247312,,,,,,,,,,,,,,,,2.649380199,0.955816606,0.711338323,,,,,,
1978,0.059634135,0.041571353,0.097695853,0.208711872,0.18344086,0.221290323,,,,,,,,,,,,,,,,3.290383157,-0.361058928,-0.290153736,,,,,,
1979,0.057326049,0.069192032,0.088479263,0.252128593,0.084946237,0.215698925,,,,,,,,,,,,,,,,3.883235606,-1.866273753,-1.463378569,,,,,,
1980,0.08872675,0.053829076,0.165490757,0.116621643,0.175698925,0.177419355,,56.89551142,58.41663971,,,,,,,,,,,,,3.493986911,0.565096858,0.011302441,,,,,,
1981,0.035981144,0.024292776,0.142593812,0.131928901,0.210322581,0.129462366,,56.98292837,58.30566398,,,,,,,,,,,,,3.93222731,0.404435177,-0.644178457,,,,,,
1982,0.030571861,0.051532902,0.207164801,0.17667325,0.118064516,0.23483871,57.09830509,57.14132727,58.39374247,57.86897667,58.14996761,57.70079569,57.56099672,58.1075352,57.87501134,58.14810749,58.26453608,57.09438981,0.459315381,,,3.075855652,-0.695518483,-0.895012717,,,,,,
1983,0.049354674,0.032889135,0.101996928,0.145962256,0.149892473,0.104086022,57.21408868,57.02016837,58.2489716,58.005113,58.20823749,57.59173378,57.68742554,58.08022703,57.99646142,58.23351533,58.30193935,57.92174266,0.873131606,,,2.702643796,0.30471688,-0.145770142,,,,,,
1984,0.054876858,0.042119319,0.147068171,0.134562212,0.175053763,0.106236559,57.1187117,56.90674612,58.394358,57.84385507,58.03994212,57.38844465,57.55462557,58.08981361,57.99882288,58.26452888,58.13568353,57.8927968,1.65590813,,,1.320705382,-0.507146994,0.648051896,,,,,,
1985,0.043340545,0.056095955,0.17852754,0.131709458,0.137849462,0.150752688,57.0062347,57.14870219,58.47744259,57.94506363,58.08687032,57.39347871,57.68099394,58.09231637,57.87310618,58.27570248,57.95147147,56.70067808,1.598005977,,,1.731910545,-2.012571352,-0.019912171,,,,,,
1986,0.034425813,0.037126076,0.192604784,0.223337722,0.110537634,0.215913978,57.12059861,57.24862962,58.4744984,57.87681388,57.98892186,57.36314592,57.48404264,58.09684136,57.92453799,58.30893783,57.88610753,56.35401758,1.228468402,,,1.606837903,-0.732200183,-0.19679393,,,,,,
1987,0.052185052,0.035700812,0.084825543,0.207384244,0.249247312,0.156989247,57.31118979,57.28439681,58.85917175,58.24131902,58.16270301,57.46719993,57.47264595,58.18086617,57.96619463,58.36316917,57.99750464,57.87471311,0.837909694,,,3.759138267,-0.707914209,-0.598263901,,,,,,
1988,0.059303279,0.040447575,0.192822713,0.153631019,0.170107527,0.228172043,57.39215046,57.33772217,59.00318038,58.10811173,57.98402565,57.51711786,57.6022755,58.28417186,58.04211357,58.33833076,58.00199375,57.21993454,1.079877543,,,1.797861572,-0.495568578,0.562358022,,,,,,
1989,0.038422632,0.030845266,0.149001536,0.18409041,0.124516129,0.149247312,57.79196735,57.23421116,58.81776604,58.31416132,58.20378554,57.65447028,57.69672229,58.28683657,58.12175824,58.32868015,57.9969053,59.34217,1.0205308,,,3.549984076,-0.450442215,-1.710749952,,,,,,
1990,0.022937345,0.034617548,0.150296248,0.103138029,0.164301075,0.278924731,57.35417093,57.22648354,58.74627619,58.12336354,58.08855957,57.60805267,57.63835462,58.26394254,58.02739794,58.30810367,57.86266723,58.26394254,1.706151184,,,2.055177924,0.511016346,0.117703444,,,,,,
1991,0.046856724,0.033053882,0.189137591,0.116008339,0.215698925,0.077849462,57.13299116,57.173502,58.64562742,58.04092916,58.12528377,57.57344256,57.82867714,58.27746089,58.05431962,58.25819743,57.91808602,58.27746089,2.704206156,,,2.449845517,0.835388372,0.547526485,,,,,,
1992,0.042783517,0.054778439,0.155055882,0.146453732,0.163010753,0.144086022,57.26855837,57.15455099,58.79742972,57.96377487,57.93902657,57.57811473,57.65651189,58.20733924,57.89624326,58.15773737,57.67103669,56.97392708,3.209517337,,,0.731371383,0.298279919,0.85330649,,,,,,
1993,0.075589768,0.035046962,0.13208251,0.156265087,0.144946237,0.129677419,57.49987947,57.13706597,59.0523592,58.06054703,58.08657894,57.64395645,57.79639595,58.27468273,58.00723526,58.24910823,57.95937331,58.27468273,2.753701843,,,2.976808033,-0.050032264,-0.227001474,,,,,,
1994,0.080357449,0.045423334,0.19649989,0.175499232,0.190107527,0.124086022,57.15414454,57.0816666,59.022925,57.97872599,58.03821389,57.53673841,57.76754334,58.26416275,58.08210403,58.31823585,57.91136137,58.26416275,3.069340545,,,0.886463176,-0.438611585,0.530879165,,,,,,
1995,0.048351984,0.03063692,0.249659864,0.12317314,0.202580645,0.117849462,57.18986726,57.02368248,58.96567371,57.99375143,57.91759609,57.44431184,57.64845041,58.27071805,58.01770967,58.30025755,57.86334852,58.27071805,3.125091762,,,0.865658415,0.947566132,0.752740848,,,,,,
1996,0.072288809,0.049748208,0.103554214,0.182880449,0.190752688,0.189247312,57.51610388,56.98999779,58.81807054,58.27759841,58.2085564,57.63473559,57.81233945,58.21506868,58.00235126,58.33550744,57.91623008,58.33118218,3.752075671,,,3.29905978,-0.543271902,-1.268689836,,,,,,
1997,0.039602748,0.050804856,0.164614878,0.15638578,0.151182796,0.201075269,57.41871831,57.02085737,58.62204201,58.36981227,58.2173639,57.73331522,57.65940628,58.23839546,58.04612668,58.36293354,57.83846138,58.29920005,3.838666329,,,2.409482171,0.039523574,0.047420741,,,,,,
1998,0.066058437,0.057298375,0.108514373,0.108174237,0.208817204,0.143655914,57.52387036,56.93706859,58.66533938,58.53666976,58.28477996,57.88237831,57.76360181,58.32340802,58.19901623,58.40287249,57.88084752,58.28625322,3.942373314,,,3.074901053,1.157459184,-0.299877433,49,149.4705882,,,,
1999,0.042443541,0.031626321,0.226771999,0.161981567,0.177204301,0.183010753,57.07287455,56.87113793,58.65594966,58.19116232,58.08524906,57.65545343,57.75065288,58.13198557,58.16997206,58.46948876,57.80232382,58.19677382,4.514350748,,,2.029796718,0.258262968,0.461232235,34,141.1481481,,,,
2000,0.050683671,0.031655672,0.204454685,0.176646009,0.14344086,0.144086022,57.34515527,56.98982315,58.89599443,58.19708921,58.16113467,57.754781,57.79957206,58.31867383,58.1102305,58.45164054,58.00067998,58.27538813,2.609391773,,,2.70753884,0.985150042,-0.517520103,56,147.1428571,,,,
2001,0.061036594,0.039886546,0.078801843,0.194426158,0.235268817,0.091827957,57.46581422,56.9327617,59.03062037,58.14873742,58.18688184,57.76630876,57.82557491,58.27259336,58.1009735,58.56330625,57.88143933,58.17144864,0.05861967,,,3.039494736,-1.896050013,-1.264972749,55,140.4285714,,,,
2002,0.021536735,0.034748688,0.219936362,0.179427255,0.176989247,0.143655914,57.52430209,56.94374915,59.00468659,58.31994845,58.33550633,57.74673081,57.92155646,58.25748703,58.12584744,58.49845381,57.92265276,58.32404822,1.786172169,,,3.270581006,1.53161491,-0.84287732,56,135.2857143,,,,
2003,0.035498781,0.035685195,0.146247531,0.140432302,0.183655914,0.176989247,57.73051328,56.90305425,59.1413614,58.33628726,58.30124462,57.73083976,57.94127047,58.19263012,58.12194752,58.47816367,58.0601808,58.1685006,0.534812028,,,3.913982313,-0.605576793,-0.859115972,39,119.4285714,1.07280912,0.479138859,,
2004,0.039302088,0.036315693,0.139652524,0.178526405,0.190322581,0.228172043,57.6226529,57.32567423,59.20070541,58.22745629,58.27703086,57.7054987,57.95570694,58.16321919,58.10620126,58.40692654,57.99832107,58.21567216,0.068344689,,,3.281995966,-0.615808493,-0.568699344,43,132.7142857,1.563928157,0.400248001,,
2005,0.039057518,0.043012473,0.144886987,0.151623875,0.208602151,0.143870968,57.69010114,57.33324251,59.02902762,58.27190936,58.34322678,57.71387971,57.95692397,58.18574882,58.07228002,58.44404622,57.98739772,58.25587367,0.083682236,,,3.829319712,-1.023640751,-0.568168686,47,125.1428571,2.316609424,0.569647313,2.596392991,1.130682507
2006,0.060476841,0.04675831,0.229438227,0.170923853,0.295483871,0.091182796,57.38693377,57.34263032,58.92381654,58.11888009,58.18485136,57.58408943,57.90523923,58.05531086,58.03178691,58.37705091,57.8475824,58.03331079,0.239491075,,,1.656100759,1.016766863,-0.361287163,34,144.2857143,1.44149364,0.193778742,2.594875156,0.489625931
2007,0.054716304,0.051864431,0.280283081,0.156758833,0.260860215,0.170107527,57.48719841,57.43687697,58.87216953,58.1359075,58.30316907,57.54998991,57.90743812,58.08177325,58.00143703,58.31587849,57.91712355,58.16274035,0.184739385,,,0.796246944,-0.04185282,0.047665034,16,124.36,0.800102256,0.159286039,2.543798437,0.701033346
2008,0.034178779,0.037284301,0.300095344,0.121658986,0.254623656,0.098064516,57.54997995,57.31137592,58.81616022,58.20967199,58.19634736,57.56335124,57.92273732,58.02829425,58.04848865,58.34018827,57.8641908,58.24634648,0.35236738,,,0.924140278,0.280723462,1.207663762,25,133.8571429,0.426948736,0.157629263,2.626331354,1.227286063
2009,0.031919796,0.034736351,0.221362739,0.157713408,0.190107527,0.175913978,57.49021317,57.26492603,58.83288587,58.14731765,58.07845464,57.47807769,57.7725561,57.93129511,58.05111205,58.34306564,57.80439259,58.21793894,0.137445423,,,0.4206206,1.176573608,0.391835172,26,141,0.941843835,0.329769432,2.449378001,1.430544451
2010,0.042370699,0.038012439,0.210006583,0.148694316,0.091182796,0.209892473,57.73984209,57.25479186,59.05225845,58.32721304,58.01917166,57.53237329,57.76943426,57.83911224,57.98557347,58.3551297,57.69066503,58.30537294,0.041446153,,,0.185810213,0.627213027,1.022648285,13,130,1.089479767,0.211573739,2.487726589,1.634027992
2011,0.05199353,0.046811422,0.22986614,0.138512179,0.164516129,0.183655914,57.69564401,57.17249833,58.93946094,58.2180453,58.17914833,57.64832256,57.85523092,57.94301692,58.00861892,58.41705587,57.90408373,58.3007686,0.060159337,,,2.668877447,-0.165153404,-0.520281436,31,137.7142857,1.924945272,0.310449728,1.241491257,1.225766847
2012,0.027716735,0.03399061,0.271613963,0.146300122,0.280860215,0.064946237,57.53479284,57.15926729,58.83791716,58.13884484,58.10945955,57.58107265,57.7608404,57.81558175,58.0250174,58.38734938,57.89650907,58.23536063,0.540064986,,,0.208082923,1.228487501,1.32374893,11,133.6666667,0.973700439,0.173188366,1.679808354,1.499170994
2013,0.038853782,0.049536142,0.203730524,0.088325653,0.183010753,0.138064516,57.51917737,57.04897082,58.79361787,58.24947397,58.11342651,57.57063871,57.75415734,57.94126854,57.98160783,58.28236388,57.84248175,58.1471147,0.350284625,,,0.906557224,0.742747771,0.798040893,25,133.7692308,,,3.001486354,1.424097198
2014,0.0422803,0.040211532,0.123666886,0.103138029,0.26172043,0.130107527,57.56305577,57.08774649,58.65602359,58.26587334,58.27514092,57.67975726,57.79960836,57.91039077,57.93124313,58.39115993,57.9461636,58.22217767,0.081704057,,,3.108387233,-0.852195252,-0.698367287,50,127.7142857,1.084117467,0.092409789,2.593542013,2.359575642
2015,0.041378559,0.05144223,0.126607417,0.136778582,0.223010753,0.194408602,57.5220412,57.08345402,58.84133082,58.36492191,58.25828384,57.6520494,57.79370462,57.96310377,57.93686485,58.39949433,58.05977902,58.15515803,0.033494932,,,3.524992057,-1.513680682,-0.729840345,46,143.5714286,0.977632404,0.203584596,3.260860216,1.564029235
2016,0.049624557,0.0348903,0.126728111,0.089453891,0.215698925,0.124086022,57.8972454,57.16825608,59.01104679,58.47733061,58.35839064,57.74150652,57.84262359,58.11339411,57.98356037,58.29850119,58.13522591,58.07405142,0.277583458,,,4.551752933,-1.572426941,-1.023097656,50,132.2857143,0.759435465,0.218755717,2.959365185,1.45720508
2017,0.031404224,0.017850833,0.13269695,0.215799868,0.223010753,0.104731183,57.87350886,57.06162345,59.34934884,58.27664833,58.33061529,57.71547166,57.8323773,58.13383088,58.02250361,58.27419561,58.33841796,58.08453887,0.097321461,,,2.306468294,-1.453435607,-0.881495491,20,116.8571429,,,3.037687438,0.835430196
2018,0.058071585,0.030927541,0.121077463,0.205277595,0.202795699,0.182795699,58.09152721,57.1626399,59.35932803,58.3629609,58.38258834,57.88000257,57.82357939,58.12861819,58.0792043,58.33837152,58.19211351,58.01054192,0.38583094,,,4.479721308,-2.218228601,-2.601281525,56,153.7142857,0.622850953,0.454655514,3.068040052,1.470375125
2019,0.042942223,0.033989697,0.125806452,0.241024797,0.223655914,0.084946237,58.00629185,57.21658724,59.22224465,58.44332059,58.36114561,57.94767834,57.84367535,58.14053034,58.18526581,58.39507283,58.09559325,58.06883073,0.174495679,,,4.284246994,-1.655631325,-2.730213195,56,120.5714286,,,2.996367873,0.991595942
2020,0.031815957,0.031222763,0.126463266,0.178547593,0.269677419,0.117419355,,,,,,,,,,,,,,,,,-0.449392078,-1.08056649,50,131.5714286,,,,
2021,0.044535273,0.033221134,0.149681808,0.12682686,0.164301075,0.110752688,57.71016381,57.29874047,58.99473628,58.43888894,58.43729364,57.95225148,58.01736779,58.17425233,58.13957886,58.40381074,57.87177246,58.06905213,0.071818618,,,4.100355758,-0.873142015,-0.93609588,56,133.8571429,,,2.985363946,0.904062921
2022,0.043071768,0.049752368,0.201755541,0.124314242,0.227956989,0.092258065,57.57613348,57.20747462,59.34288802,58.27657203,58.28953171,57.84084189,57.98117381,58.1543822,58.19121628,58.41773834,57.81673977,58.0643921,0.087117896,,,1.935124478,0.35579389,-0.490453743,25,123.4285714,,,,
