"","YEAR","COMMON_NAME","mean_weighted_lat"
"1",1982,"yellowfin sole",57.875011337895
"2",1983,"yellowfin sole",57.9964614197308
"3",1984,"yellowfin sole",57.998822884597
"4",1985,"yellowfin sole",57.8731061790553
"5",1986,"yellowfin sole",57.9245379939991
"6",1987,"yellowfin sole",57.9661946347728
"7",1988,"yellowfin sole",58.0421135746216
"8",1989,"yellowfin sole",58.1217582403035
"9",1990,"yellowfin sole",58.0273979387239
"10",1991,"yellowfin sole",58.0543196227606
"11",1992,"yellowfin sole",57.896243261066
"12",1993,"yellowfin sole",58.0072352590293
"13",1994,"yellowfin sole",58.082104033879
"14",1995,"yellowfin sole",58.0177096734026
"15",1996,"yellowfin sole",58.0023512619672
"16",1997,"yellowfin sole",58.0461266826173
"17",1998,"yellowfin sole",58.1990162315682
"18",1999,"yellowfin sole",58.1699720642819
"19",2000,"yellowfin sole",58.1102304952782
"20",2001,"yellowfin sole",58.1009734984824
"21",2002,"yellowfin sole",58.1258474414023
"22",2003,"yellowfin sole",58.121947515103
"23",2004,"yellowfin sole",58.1062012567527
"24",2005,"yellowfin sole",58.0722800205119
"25",2006,"yellowfin sole",58.031786910319
"26",2007,"yellowfin sole",58.0014370348148
"27",2008,"yellowfin sole",58.0484886495408
"28",2009,"yellowfin sole",58.0511120471129
"29",2010,"yellowfin sole",57.9855734674271
"30",2011,"yellowfin sole",58.0086189246198
"31",2012,"yellowfin sole",58.025017404453
"32",2013,"yellowfin sole",57.9816078272897
"33",2014,"yellowfin sole",57.9312431300907
"34",2015,"yellowfin sole",57.936864846379
"35",2016,"yellowfin sole",57.983560367857
"36",2017,"yellowfin sole",58.0225036090937
"37",2018,"yellowfin sole",58.0792043025839
"38",2019,"yellowfin sole",58.1852658058681
"39",2021,"yellowfin sole",58.1395788630279
"40",2022,"yellowfin sole",58.191216282607
"41",1982,"rock sole",58.1075352046784
"42",1983,"rock sole",58.0802270254958
"43",1984,"rock sole",58.0898136056338
"44",1985,"rock sole",58.0923163739377
"45",1986,"rock sole",58.0968413597734
"46",1987,"rock sole",58.1808661690141
"47",1988,"rock sole",58.2841718648649
"48",1989,"rock sole",58.2868365683646
"49",1990,"rock sole",58.2639425405405
"50",1991,"rock sole",58.2774608894879
"51",1992,"rock sole",58.2073392394366
"52",1993,"rock sole",58.2746827272727
"53",1994,"rock sole",58.2641627540107
"54",1995,"rock sole",58.2707180533333
"55",1996,"rock sole",58.215068679934
"56",1997,"rock sole",58.2383954552633
"57",1998,"rock sole",58.3234080172116
"58",1999,"rock sole",58.131985570861
"59",2000,"rock sole",58.3186738279053
"60",2001,"rock sole",58.2725933612024
"61",2002,"rock sole",58.2574870278336
"62",2003,"rock sole",58.1926301152821
"63",2004,"rock sole",58.1632191946034
"64",2005,"rock sole",58.1857488249335
"65",2006,"rock sole",58.0553108616071
"66",2007,"rock sole",58.0817732537625
"67",2008,"rock sole",58.0282942483141
"68",2009,"rock sole",57.9312951058558
"69",2010,"rock sole",57.8391122373048
"70",2011,"rock sole",57.9430169218072
"71",2012,"rock sole",57.8155817471589
"72",2013,"rock sole",57.941268535959
"73",2014,"rock sole",57.910390768133
"74",2015,"rock sole",57.9631037685133
"75",2016,"rock sole",58.1133941073923
"76",2017,"rock sole",58.1338308836289
"77",2018,"rock sole",58.1286181918414
"78",2019,"rock sole",58.1405303444477
"79",2021,"rock sole",58.1742523347313
"80",2022,"rock sole",58.15438219624
"81",1982,"Pacific halibut",57.5609967209282
"82",1983,"Pacific halibut",57.6874255373571
"83",1984,"Pacific halibut",57.5546255681145
"84",1985,"Pacific halibut",57.680993941508
"85",1986,"Pacific halibut",57.4840426417996
"86",1987,"Pacific halibut",57.472645951861
"87",1988,"Pacific halibut",57.6022754951084
"88",1989,"Pacific halibut",57.696722289548
"89",1990,"Pacific halibut",57.638354623488
"90",1991,"Pacific halibut",57.8286771414428
"91",1992,"Pacific halibut",57.6565118898908
"92",1993,"Pacific halibut",57.7963959495952
"93",1994,"Pacific halibut",57.7675433392027
"94",1995,"Pacific halibut",57.6484504118682
"95",1996,"Pacific halibut",57.8123394452274
"96",1997,"Pacific halibut",57.6594062752888
"97",1998,"Pacific halibut",57.7636018113028
"98",1999,"Pacific halibut",57.7506528824758
"99",2000,"Pacific halibut",57.7995720603579
"100",2001,"Pacific halibut",57.8255749128079
"101",2002,"Pacific halibut",57.9215564623226
"102",2003,"Pacific halibut",57.9412704670199
"103",2004,"Pacific halibut",57.9557069443376
"104",2005,"Pacific halibut",57.9569239701947
"105",2006,"Pacific halibut",57.9052392349794
"106",2007,"Pacific halibut",57.9074381228009
"107",2008,"Pacific halibut",57.9227373157209
"108",2009,"Pacific halibut",57.772556098767
"109",2010,"Pacific halibut",57.7694342644901
"110",2011,"Pacific halibut",57.8552309212242
"111",2012,"Pacific halibut",57.7608403950554
"112",2013,"Pacific halibut",57.7541573372165
"113",2014,"Pacific halibut",57.7996083596153
"114",2015,"Pacific halibut",57.7937046244312
"115",2016,"Pacific halibut",57.8426235879087
"116",2017,"Pacific halibut",57.832377299197
"117",2018,"Pacific halibut",57.823579394601
"118",2019,"Pacific halibut",57.8436753500114
"119",2021,"Pacific halibut",58.0173677939365
"120",2022,"Pacific halibut",57.9811738064431
"121",1982,"walleye pollock",57.8689766659
"122",1983,"walleye pollock",58.0051130044905
"123",1984,"walleye pollock",57.8438550719078
"124",1985,"walleye pollock",57.9450636344239
"125",1986,"walleye pollock",57.8768138848322
"126",1987,"walleye pollock",58.2413190160718
"127",1988,"walleye pollock",58.1081117263107
"128",1989,"walleye pollock",58.3141613197171
"129",1990,"walleye pollock",58.1233635393944
"130",1991,"walleye pollock",58.040929159238
"131",1992,"walleye pollock",57.9637748724119
"132",1993,"walleye pollock",58.0605470347832
"133",1994,"walleye pollock",57.9787259926502
"134",1995,"walleye pollock",57.9937514286929
"135",1996,"walleye pollock",58.2775984069171
"136",1997,"walleye pollock",58.3698122720081
"137",1998,"walleye pollock",58.5366697571699
"138",1999,"walleye pollock",58.1911623156534
"139",2000,"walleye pollock",58.1970892105611
"140",2001,"walleye pollock",58.1487374174703
"141",2002,"walleye pollock",58.3199484450966
"142",2003,"walleye pollock",58.3362872623401
"143",2004,"walleye pollock",58.2274562888983
"144",2005,"walleye pollock",58.2719093621502
"145",2006,"walleye pollock",58.1188800876161
"146",2007,"walleye pollock",58.1359074968486
"147",2008,"walleye pollock",58.2096719865146
"148",2009,"walleye pollock",58.1473176516052
"149",2010,"walleye pollock",58.3272130399039
"150",2011,"walleye pollock",58.2180452980129
"151",2012,"walleye pollock",58.1388448427624
"152",2013,"walleye pollock",58.2494739741433
"153",2014,"walleye pollock",58.265873337089
"154",2015,"walleye pollock",58.3649219064382
"155",2016,"walleye pollock",58.4773306118363
"156",2017,"walleye pollock",58.2766483292614
"157",2018,"walleye pollock",58.3629608975799
"158",2019,"walleye pollock",58.4433205875924
"159",2021,"walleye pollock",58.4388889384394
"160",2022,"walleye pollock",58.2765720268412
"161",1982,"Alaska plaice",58.148107490116
"162",1983,"Alaska plaice",58.2335153274401
"163",1984,"Alaska plaice",58.2645288817136
"164",1985,"Alaska plaice",58.2757024841405
"165",1986,"Alaska plaice",58.3089378344263
"166",1987,"Alaska plaice",58.3631691731739
"167",1988,"Alaska plaice",58.3383307575964
"168",1989,"Alaska plaice",58.3286801455294
"169",1990,"Alaska plaice",58.3081036701105
"170",1991,"Alaska plaice",58.2581974288542
"171",1992,"Alaska plaice",58.1577373688505
"172",1993,"Alaska plaice",58.2491082327523
"173",1994,"Alaska plaice",58.3182358520423
"174",1995,"Alaska plaice",58.3002575513964
"175",1996,"Alaska plaice",58.3355074352061
"176",1997,"Alaska plaice",58.3629335437197
"177",1998,"Alaska plaice",58.4028724852555
"178",1999,"Alaska plaice",58.4694887588634
"179",2000,"Alaska plaice",58.4516405393677
"180",2001,"Alaska plaice",58.5633062546892
"181",2002,"Alaska plaice",58.4984538091922
"182",2003,"Alaska plaice",58.4781636660536
"183",2004,"Alaska plaice",58.4069265428357
"184",2005,"Alaska plaice",58.4440462229614
"185",2006,"Alaska plaice",58.3770509053917
"186",2007,"Alaska plaice",58.3158784920111
"187",2008,"Alaska plaice",58.340188273459
"188",2009,"Alaska plaice",58.3430656436126
"189",2010,"Alaska plaice",58.3551297014468
"190",2011,"Alaska plaice",58.4170558705796
"191",2012,"Alaska plaice",58.3873493826955
"192",2013,"Alaska plaice",58.2823638767575
"193",2014,"Alaska plaice",58.3911599255356
"194",2015,"Alaska plaice",58.3994943296617
"195",2016,"Alaska plaice",58.2985011891887
"196",2017,"Alaska plaice",58.2741956140084
"197",2018,"Alaska plaice",58.3383715152851
"198",2019,"Alaska plaice",58.3950728338236
"199",2021,"Alaska plaice",58.403810743121
"200",2022,"Alaska plaice",58.4177383357876
"201",1982,"flathead sole",57.7007956855158
"202",1983,"flathead sole",57.5917337761804
"203",1984,"flathead sole",57.3884446461761
"204",1985,"flathead sole",57.3934787122166
"205",1986,"flathead sole",57.3631459170077
"206",1987,"flathead sole",57.4671999253155
"207",1988,"flathead sole",57.5171178577354
"208",1989,"flathead sole",57.6544702762687
"209",1990,"flathead sole",57.6080526710219
"210",1991,"flathead sole",57.5734425557548
"211",1992,"flathead sole",57.5781147317153
"212",1993,"flathead sole",57.6439564533331
"213",1994,"flathead sole",57.5367384120479
"214",1995,"flathead sole",57.4443118353295
"215",1996,"flathead sole",57.6347355850368
"216",1997,"flathead sole",57.7333152200599
"217",1998,"flathead sole",57.8823783096721
"218",1999,"flathead sole",57.6554534266272
"219",2000,"flathead sole",57.7547809983311
"220",2001,"flathead sole",57.7663087627679
"221",2002,"flathead sole",57.746730811785
"222",2003,"flathead sole",57.7308397561758
"223",2004,"flathead sole",57.7054987028298
"224",2005,"flathead sole",57.7138797129801
"225",2006,"flathead sole",57.5840894342331
"226",2007,"flathead sole",57.5499899146296
"227",2008,"flathead sole",57.5633512397063
"228",2009,"flathead sole",57.4780776892756
"229",2010,"flathead sole",57.5323732860295
"230",2011,"flathead sole",57.6483225639472
"231",2012,"flathead sole",57.5810726524393
"232",2013,"flathead sole",57.5706387145511
"233",2014,"flathead sole",57.679757257117
"234",2015,"flathead sole",57.6520494015079
"235",2016,"flathead sole",57.7415065190635
"236",2017,"flathead sole",57.7154716554577
"237",2018,"flathead sole",57.8800025673751
"238",2019,"flathead sole",57.9476783357949
"239",2021,"flathead sole",57.952251483702
"240",2022,"flathead sole",57.8408418885916
"241",1982,"Pacific cod",58.1499676143376
"242",1983,"Pacific cod",58.2082374932036
"243",1984,"Pacific cod",58.0399421236497
"244",1985,"Pacific cod",58.0868703150583
"245",1986,"Pacific cod",57.9889218560666
"246",1987,"Pacific cod",58.1627030145972
"247",1988,"Pacific cod",57.9840256492347
"248",1989,"Pacific cod",58.2037855412761
"249",1990,"Pacific cod",58.0885595667416
"250",1991,"Pacific cod",58.1252837684627
"251",1992,"Pacific cod",57.9390265741445
"252",1993,"Pacific cod",58.0865789388078
"253",1994,"Pacific cod",58.0382138864522
"254",1995,"Pacific cod",57.9175960855147
"255",1996,"Pacific cod",58.2085564009068
"256",1997,"Pacific cod",58.2173639029472
"257",1998,"Pacific cod",58.2847799561554
"258",1999,"Pacific cod",58.085249064464
"259",2000,"Pacific cod",58.1611346699772
"260",2001,"Pacific cod",58.1868818403212
"261",2002,"Pacific cod",58.3355063340909
"262",2003,"Pacific cod",58.3012446211791
"263",2004,"Pacific cod",58.2770308563643
"264",2005,"Pacific cod",58.3432267816466
"265",2006,"Pacific cod",58.1848513555021
"266",2007,"Pacific cod",58.3031690715595
"267",2008,"Pacific cod",58.1963473609099
"268",2009,"Pacific cod",58.0784546390526
"269",2010,"Pacific cod",58.0191716627297
"270",2011,"Pacific cod",58.1791483298956
"271",2012,"Pacific cod",58.1094595475878
"272",2013,"Pacific cod",58.1134265086966
"273",2014,"Pacific cod",58.2751409219053
"274",2015,"Pacific cod",58.2582838446001
"275",2016,"Pacific cod",58.3583906399616
"276",2017,"Pacific cod",58.3306152897775
"277",2018,"Pacific cod",58.3825883411045
"278",2019,"Pacific cod",58.3611456126685
"279",2021,"Pacific cod",58.4372936391513
"280",2022,"Pacific cod",58.2895317068866
"281",1982,"skate",57.0943898106826
"282",1983,"skate",57.9217426616114
"283",1984,"skate",57.8927968021446
"284",1985,"skate",56.7006780751752
"285",1986,"skate",56.354017579916
"286",1987,"skate",57.8747131068168
"287",1988,"skate",57.219934544675
"288",1989,"skate",59.34217
"289",1990,"skate",58.2639425405405
"290",1991,"skate",58.2774608894879
"291",1992,"skate",56.9739270816675
"292",1993,"skate",58.2746827272727
"293",1994,"skate",58.2641627540107
"294",1995,"skate",58.2707180533333
"295",1996,"skate",58.3311821758346
"296",1997,"skate",58.2992000542842
"297",1998,"skate",58.2862532233682
"298",1999,"skate",58.1967738162507
"299",2000,"skate",58.2753881283039
"300",2001,"skate",58.1714486357904
"301",2002,"skate",58.3240482233382
"302",2003,"skate",58.1685006022734
"303",2004,"skate",58.2156721552569
"304",2005,"skate",58.2558736675561
"305",2006,"skate",58.0333107939602
"306",2007,"skate",58.1627403510981
"307",2008,"skate",58.2463464786453
"308",2009,"skate",58.2179389426133
"309",2010,"skate",58.3053729403462
"310",2011,"skate",58.3007685994127
"311",2012,"skate",58.2353606345074
"312",2013,"skate",58.1471146963879
"313",2014,"skate",58.2221776745797
"314",2015,"skate",58.1551580270267
"315",2016,"skate",58.0740514233747
"316",2017,"skate",58.0845388745296
"317",2018,"skate",58.0105419192665
"318",2019,"skate",58.0688307346686
"319",2021,"skate",58.0690521283542
"320",2022,"skate",58.0643921025264
"321",1982,"sturgeon poacher",58.2645360780631
"322",1983,"sturgeon poacher",58.3019393516597
"323",1984,"sturgeon poacher",58.1356835319401
"324",1985,"sturgeon poacher",57.9514714691303
"325",1986,"sturgeon poacher",57.8861075283156
"326",1987,"sturgeon poacher",57.997504636728
"327",1988,"sturgeon poacher",58.0019937487891
"328",1989,"sturgeon poacher",57.9969052957783
"329",1990,"sturgeon poacher",57.8626672312177
"330",1991,"sturgeon poacher",57.9180860235913
"331",1992,"sturgeon poacher",57.6710366853088
"332",1993,"sturgeon poacher",57.9593733114078
"333",1994,"sturgeon poacher",57.9113613746843
"334",1995,"sturgeon poacher",57.8633485205204
"335",1996,"sturgeon poacher",57.916230081891
"336",1997,"sturgeon poacher",57.8384613767117
"337",1998,"sturgeon poacher",57.8808475157639
"338",1999,"sturgeon poacher",57.8023238236206
"339",2000,"sturgeon poacher",58.0006799802693
"340",2001,"sturgeon poacher",57.8814393261996
"341",2002,"sturgeon poacher",57.9226527634327
"342",2003,"sturgeon poacher",58.0601808015835
"343",2004,"sturgeon poacher",57.9983210685291
"344",2005,"sturgeon poacher",57.9873977197485
"345",2006,"sturgeon poacher",57.847582400688
"346",2007,"sturgeon poacher",57.9171235476272
"347",2008,"sturgeon poacher",57.8641908032772
"348",2009,"sturgeon poacher",57.8043925901291
"349",2010,"sturgeon poacher",57.6906650275614
"350",2011,"sturgeon poacher",57.9040837334115
"351",2012,"sturgeon poacher",57.8965090654945
"352",2013,"sturgeon poacher",57.8424817548683
"353",2014,"sturgeon poacher",57.9461636044435
"354",2015,"sturgeon poacher",58.05977901948
"355",2016,"sturgeon poacher",58.1352259114622
"356",2017,"sturgeon poacher",58.338417958626
"357",2018,"sturgeon poacher",58.1921135131269
"358",2019,"sturgeon poacher",58.0955932477194
"359",2021,"sturgeon poacher",57.8717724570064
"360",2022,"sturgeon poacher",57.8167397730312
"361",1988,"tanner crab",57.3377221748424
"362",1989,"tanner crab",57.2342111597751
"363",1990,"tanner crab",57.22648354112
"364",1991,"tanner crab",57.1735020014827
"365",1992,"tanner crab",57.1545509899621
"366",1993,"tanner crab",57.1370659681456
"367",1994,"tanner crab",57.0816666012999
"368",1995,"tanner crab",57.0236824831691
"369",1996,"tanner crab",56.9899977902936
"370",1997,"tanner crab",57.0208573730827
"371",1998,"tanner crab",56.937068586499
"372",1999,"tanner crab",56.8711379329282
"373",2000,"tanner crab",56.9898231468194
"374",2001,"tanner crab",56.9327616992467
"375",2002,"tanner crab",56.9437491502699
"376",2003,"tanner crab",56.9030542533008
"377",2004,"tanner crab",57.3256742273718
"378",2005,"tanner crab",57.3332425113198
"379",2006,"tanner crab",57.3426303170989
"380",2007,"tanner crab",57.4368769713815
"381",2008,"tanner crab",57.3113759174054
"382",2009,"tanner crab",57.2649260326307
"383",2010,"tanner crab",57.2547918595888
"384",2011,"tanner crab",57.1724983319397
"385",2012,"tanner crab",57.1592672893572
"386",2013,"tanner crab",57.0489708154627
"387",2014,"tanner crab",57.0877464901103
"388",2015,"tanner crab",57.0834540201018
"389",2016,"tanner crab",57.1682560754099
"390",2017,"tanner crab",57.0616234521166
"391",2018,"tanner crab",57.1626398997476
"392",2019,"tanner crab",57.2165872379353
"393",2021,"tanner crab",57.2987404680049
"394",2022,"tanner crab",57.2074746165977
"395",1988,"snow crab",59.0031803802438
"396",1989,"snow crab",58.8177660428211
"397",1990,"snow crab",58.7462761929427
"398",1991,"snow crab",58.6456274196393
"399",1992,"snow crab",58.7974297184979
"400",1993,"snow crab",59.0523592019164
"401",1994,"snow crab",59.0229249993219
"402",1995,"snow crab",58.9656737082884
"403",1996,"snow crab",58.818070544115
"404",1997,"snow crab",58.6220420082546
"405",1998,"snow crab",58.6653393805441
"406",1999,"snow crab",58.6559496633468
"407",2000,"snow crab",58.8959944327217
"408",2001,"snow crab",59.0306203661023
"409",2002,"snow crab",59.0046865866616
"410",2003,"snow crab",59.1413613981423
"411",2004,"snow crab",59.2007054102918
"412",2005,"snow crab",59.0290276170878
"413",2006,"snow crab",58.9238165382455
"414",2007,"snow crab",58.8721695297098
"415",2008,"snow crab",58.8161602171186
"416",2009,"snow crab",58.8328858670544
"417",2010,"snow crab",59.0522584477697
"418",2011,"snow crab",58.9394609418911
"419",2012,"snow crab",58.8379171626115
"420",2013,"snow crab",58.7936178732228
"421",2014,"snow crab",58.6560235886707
"422",2015,"snow crab",58.8413308184154
"423",2016,"snow crab",59.0110467853457
"424",2017,"snow crab",59.3493488446701
"425",2018,"snow crab",59.3593280277912
"426",2019,"snow crab",59.2222446500841
"427",2021,"snow crab",58.9947362802327
"428",2022,"snow crab",59.3428880247637
